,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kitimat,75,CA,1556249485,42,54.02,-128.69,48.2,3.36
1,Ponta Delgada,75,PT,1556250261,62,37.73,-25.67,59.0,5.82
2,Gat,0,SN,1556249400,82,14.69,-16.54,68.0,20.8
3,Lompoc,1,US,1556250470,82,34.64,-120.46,60.01,6.93
4,Wawa,100,NG,1556250502,53,9.9,4.41,88.21,8.61
5,Rikitea,100,PF,1556249919,86,-23.12,-134.97,76.69,20.22
6,Bredasdorp,100,ZA,1556249459,93,-34.53,20.04,55.99,2.24
7,Albany,75,US,1556250024,58,42.65,-73.75,57.99,4.7
8,Cape Town,0,ZA,1556250065,87,-33.93,18.42,64.99,9.17
9,Changji,100,CN,1556250510,69,32.07,116.17,52.57,11.5
10,Qaanaaq,100,GL,1556250236,97,77.48,-69.36,5.59,2.26
11,Mahebourg,40,MU,1556249939,65,-20.41,57.7,77.0,9.17
12,Kruisfontein,32,ZA,1556249982,93,-34.0,24.73,56.53,5.1
13,Upernavik,13,GL,1556250489,98,72.79,-56.15,3.07,5.23
14,Saldanha,77,PT,1556250208,92,41.42,-6.55,43.21,5.86
15,Durban,90,FR,1556250425,87,43.54,0.58,51.01,2.24
16,Bluff,22,AU,1556249994,60,-23.58,149.07,81.55,7.63
17,Puerto Ayora,3,EC,1556249499,94,-0.74,-90.35,77.0,4.0
18,Vaini,72,IN,1556247600,83,15.34,74.49,80.6,3.36
19,Saskylakh,1,RU,1556250223,88,71.97,114.09,-1.62,3.36
20,Arraial do Cabo,1,BR,1556250262,81,-22.97,-42.02,76.69,11.48
21,Boyolangu,63,ID,1556250526,69,-8.09,111.9,82.81,7.54
22,Nikolskoye,0,RU,1556250373,65,59.7,30.79,48.0,11.18
23,Sao Filipe,2,CV,1556250271,83,14.9,-24.5,71.29,17.69
24,Dingle,40,PH,1556250023,35,11.0,122.67,93.97,12.84
25,Esperance,20,TT,1556250008,94,10.24,-61.45,79.0,5.82
26,Amuntai,62,ID,1556250508,77,-2.42,115.25,86.41,2.3
27,Butaritari,34,KI,1556250011,80,3.07,172.79,83.53,14.45
28,Geraldton,20,CA,1556247600,74,49.72,-86.95,35.6,6.42
29,Mataura,100,NZ,1556250006,57,-46.19,168.86,64.0,11.99
30,Ostrovnoy,100,RU,1556250539,93,68.05,39.51,34.75,12.24
31,Carnarvon,0,ZA,1556250541,42,-30.97,22.13,54.91,1.74
32,Yellowknife,75,CA,1556249567,57,62.45,-114.38,23.0,9.17
33,Salalah,0,OM,1556247000,24,17.01,54.1,86.0,13.87
34,Busselton,0,AU,1556250353,48,-33.64,115.35,77.0,5.01
35,Ushuaia,0,AR,1556247600,61,-54.81,-68.31,46.4,6.17
36,Tuatapere,97,NZ,1556249409,57,-46.13,167.69,64.0,10.0
37,Arys,90,KZ,1556247600,76,42.43,68.8,53.6,4.47
38,Kodiak,1,US,1556249911,16,39.95,-94.76,57.0,3.36
39,Jamestown,29,AU,1556250553,50,-33.21,138.6,64.63,13.69
40,Balikpapan,40,ID,1556247600,70,-1.24,116.86,89.6,4.7
41,Padang,100,ID,1556250463,82,-0.92,100.36,79.57,3.44
42,Ratnagiri,71,IN,1556250557,78,16.98,73.3,83.53,8.75
43,Trindade,0,BR,1556247600,78,-16.66,-49.49,71.6,3.36
44,Hilo,90,US,1556249957,73,19.71,-155.08,75.99,8.05
45,Dukat,1,RS,1556250382,89,42.44,22.31,48.0,3.53
46,Atuona,2,PF,1556250265,75,-9.8,-139.03,83.17,16.02
47,Avarua,100,CK,1556247600,74,-21.21,-159.78,80.6,20.8
48,Necochea,100,AR,1556247688,90,-38.55,-58.74,53.01,1.01
49,Greenville,1,US,1556250336,77,34.85,-82.4,69.8,6.93
50,Victoria,75,BN,1556247600,74,5.28,115.24,87.8,3.62
51,Talnakh,40,RU,1556247600,77,69.49,88.39,-2.21,20.13
52,Manono,100,CD,1556250572,70,-7.3,27.4,71.83,1.59
53,Sokolo,1,ML,1556250573,16,14.74,-6.12,90.55,11.9
54,Quelimane,75,MZ,1556247600,88,-17.88,36.89,75.2,2.62
55,Hermanus,87,ZA,1556249527,95,-34.42,19.24,55.99,1.99
56,Manavalakurichi,40,IN,1556247600,66,8.13,77.3,87.8,9.17
57,Lang Son,95,VN,1556250477,83,21.83,106.73,78.85,4.88
58,Ojinaga,1,US,1556250329,19,29.56,-104.41,78.8,8.05
59,Otane,1,NZ,1556249416,68,-39.89,176.62,66.99,8.99
60,Sorland,0,NO,1556247000,65,67.67,12.69,48.2,3.36
61,Teya,5,MX,1556250425,54,21.05,-89.07,84.99,4.7
62,Diu,8,IN,1556250587,40,20.71,70.98,87.31,10.42
63,Saiha,0,IN,1556250588,35,22.49,92.98,95.95,1.52
64,Daru,95,SL,1556250589,96,7.99,-10.85,75.97,1.23
65,Rolla,90,US,1556250357,76,37.95,-91.77,59.0,17.22
66,Ayan,28,TR,1556250592,85,40.67,33.6,38.71,2.08
67,Husavik,77,CA,1556250585,66,50.56,-96.99,39.0,8.01
68,Kapaa,40,US,1556250363,69,22.08,-159.32,78.8,12.75
69,Buraydah,0,SA,1556247600,45,26.33,43.97,62.6,5.82
70,Pacific Grove,90,US,1556250436,81,36.62,-121.92,64.0,5.82
71,Bilibino,45,RU,1556250599,86,68.06,166.44,24.13,5.91
72,Port Elizabeth,75,US,1556250142,76,39.31,-74.98,61.0,6.93
73,Tuktoyaktuk,20,CA,1556247600,72,69.44,-133.03,17.6,6.93
74,Brae,100,GB,1556247000,93,60.4,-1.35,48.2,20.8
75,Ponta do Sol,22,BR,1556250100,96,-20.63,-46.0,65.35,3.6
